symbol,timestamp,open,high,low,close,trade_count,base_volume,counter_volume,avg
USDC/XLM,2021-02-02 14:18:35.392,2.8879036,2.8910090,2.8879036,2.8910090,2,1.2799754,3.7001753,2.8908175
USDC/XLM,2021-02-02 14:25:08.608,2.9562169,2.9562169,2.9411765,2.9411765,3,1.0000000,2.9439004,2.9439004
USDC/XLM,2021-02-02 14:31:41.824,2.9714982,2.9714982,2.9714982,2.9714982,1,0.0000010,0.0000030,3.0000000
USDC/XLM,2021-02-02 14:33:52.896,2.9617465,2.9617465,2.9617465,2.9617465,1,20.6317647,61.1060562,2.9617465
USDC/XLM,2021-02-02 14:40:26.112,2.9588528,2.9673946,2.9588528,2.9673946,2,10.2962493,30.5530281,2.9673940
USDC/XLM,2021-02-02 14:42:37.184,2.9715742,2.9715759,2.9715742,2.9715759,2,20.5635120,61.1060376,2.9715759
USDC/XLM,2021-02-02 14:44:48.256,2.9715759,2.9715759,2.9715706,2.9715706,2,790.0000000,2347.5449965,2.9715759
USDC/XLM,2021-02-02 14:46:59.328,2.9831670,2.9831670,2.9831670,2.9831670,1,5.0000000,14.9158350,2.9831670
USDC/XLM,2021-02-02 14:49:10.400,2.9161496,2.9161496,2.9161496,2.9161496,1,1.0517378,3.0670247,2.9161495
USDC/XLM,2021-02-02 14:51:21.472,2.9129876,2.9129876,2.9129876,2.9129876,1,0.9898870,2.8835285,2.9129875
USDC/XLM,2021-02-02 14:53:32.544,2.9664948,2.9664948,2.9664948,2.9664948,1,16610.0000000,49273.4780263,2.9664948
USDC/XLM,2021-02-02 15:11:01.120,3.0243387,3.0243387,3.0243387,3.0243387,1,0.3306507,1.0000000,3.0243396
USDC/XLM,2021-02-02 15:17:34.336,3.0458892,3.0458892,3.0458892,3.0458892,1,1.5000000,4.5688339,3.0458893
USDC/XLM,2021-02-02 15:28:29.696,3.0579470,3.0627267,3.0579470,3.0627267,2,1.0000000,3.0621324,3.0621324
USDC/XLM,2021-02-02 15:30:40.768,3.0625154,3.0625192,3.0625154,3.0625192,2,5.0000000,15.3125958,3.0625192
USDC/XLM,2021-02-02 15:32:51.840,3.0708555,3.0708555,3.0708555,3.0708555,1,1000.0000000,3070.8554506,3.0708555
USDC/XLM,2021-02-02 16:01:15.776,3.0131336,3.0131336,3.0131336,3.0131336,1,9.2926512,28.0000000,3.0131336
USDC/XLM,2021-02-02 16:03:26.848,2.8759242,3.0111898,2.8759242,2.8910090,3,10.0000000,28.8529637,2.8852964
USDC/XLM,2021-02-02 16:03:26.848,2.8768569,2.8768569,2.8768569,2.8768569,1,0.4502403,1.2952769,2.8768569
USDC/XLM,2021-02-02 16:14:22.208,3.0478666,3.0478666,3.0478666,3.0478666,1,1.0000000,3.0478666,3.0478666
USDC/XLM,2021-02-02 16:16:33.280,3.0601769,3.0601769,3.0601769,3.0601769,1,1.0000000,3.0601769,3.0601769
USDC/XLM,2021-02-02 16:29:39.712,3.0531879,3.0531879,3.0531879,3.0531879,1,1.6245501,4.9600567,3.0531879
USDC/XLM,2021-02-02 16:44:57.216,2.9410169,2.9410169,2.9410169,2.9410169,1,1.6000000,4.7056270,2.9410169
USDC/XLM,2021-02-02 16:51:30.432,3.0845553,3.0845553,3.0845553,3.0845553,1,1.0000000,3.0845553,3.0845553
USDC/XLM,2021-02-02 17:02:25.792,2.9406234,2.9406234,2.9406234,2.9406234,1,1.0200000,2.9994358,2.9406233
USDC/XLM,2021-02-02 17:22:05.440,3.0303030,3.0303030,3.0303030,3.0303030,1,1.9188446,5.8146806,3.0303030
USDC/XLM,2021-02-02 17:26:27.584,3.0662784,3.0662784,3.0662765,3.0662765,2,1.8964205,5.8149503,3.0662769
USDC/XLM,2021-02-02 17:28:38.656,3.0682211,3.0682211,3.0682211,3.0682211,1,0.1611998,0.4945966,3.0682209
USDC/XLM,2021-02-02 17:28:38.656,3.0682221,3.0682221,3.0682221,3.0682221,1,0.1134303,0.3480293,3.0682216
USDC/XLM,2021-02-02 17:30:49.728,3.0682221,3.0682221,3.0631428,3.0631428,2,31.0389164,95.0950002,3.0637345
USDC/XLM,2021-02-02 17:39:34.016,2.9850818,2.9850818,2.9850818,2.9850818,1,0.0001093,0.0003262,2.9844465
USDC/XLM,2021-02-02 18:12:20.096,3.0816587,3.0816587,3.0816587,3.0816587,1,1.0000000,3.0816587,3.0816587
